division_id,electoral_division,state
179,Adelaide,SA
197,Aston,VIC
198,Ballarat,VIC
103,Banks,NSW
180,Barker,SA
104,Barton,NSW
192,Bass,TAS
199,Batman,VIC
200,Bendigo,VIC
105,Bennelong,NSW
106,Berowra,NSW
304,Blair,QLD
107,Blaxland,NSW
310,Bonner,QLD
182,Boothby,SA
155,Bowman,QLD
193,Braddon,TAS
108,Bradfield,NSW
235,Brand,WA
156,Brisbane,QLD
201,Bruce,VIC
317,Burt,WA
109,Calare,NSW
203,Calwell,VIC
101,Canberra,ACT
236,Canning,WA
157,Capricornia,QLD
204,Casey,VIC
111,Chifley,NSW
205,Chisholm,VIC
112,Cook,NSW
207,Corangamite,VIC
208,Corio,VIC
237,Cowan,WA
113,Cowper,NSW
114,Cunningham,NSW
238,Curtin,WA
158,Dawson,QLD
209,Deakin,VIC
194,Denison,TAS
252,Dickson,QLD
115,Dobell,NSW
210,Dunkley,VIC
312,Durack,WA
117,Eden-Monaro,NSW
159,Fadden,QLD
160,Fairfax,QLD
118,Farrer,NSW
102,Fenner,ACT
161,Fisher,QLD
211,Flinders,VIC
311,Flynn,QLD
162,Forde,QLD
239,Forrest,WA
119,Fowler,NSW
195,Franklin,TAS
240,Fremantle,WA
212,Gellibrand,VIC
120,Gilmore,NSW
213,Gippsland,VIC
214,Goldstein,VIC
309,Gorton,VIC
121,Grayndler,NSW
122,Greenway,NSW
183,Grey,SA
163,Griffith,QLD
164,Groom,QLD
305,Hasluck,WA
165,Herbert,QLD
215,Higgins,VIC
185,Hindmarsh,SA
166,Hinkler,QLD
216,Holt,VIC
217,Hotham,VIC
124,Hughes,NSW
125,Hume,NSW
126,Hunter,NSW
218,Indi,VIC
219,Isaacs,VIC
220,Jagajaga,VIC
167,Kennedy,QLD
127,Kingsford Smith,NSW
186,Kingston,SA
221,Kooyong,VIC
223,La Trobe,VIC
222,Lalor,VIC
168,Leichhardt,QLD
169,Lilley,QLD
128,Lindsay,NSW
306,Lingiari,NT
302,Longman,QLD
130,Lyne,NSW
196,Lyons,TAS
131,Macarthur,NSW
132,Mackellar,NSW
133,Macquarie,NSW
187,Makin,SA
224,Mallee,VIC
170,Maranoa,QLD
225,Maribyrnong,VIC
188,Mayo,SA
226,McEwen,VIC
315,McMahon,NSW
227,McMillan,VIC
171,McPherson,QLD
228,Melbourne,VIC
230,Melbourne Ports,VIC
229,Menzies,VIC
134,Mitchell,NSW
172,Moncrieff,QLD
242,Moore,WA
173,Moreton,QLD
231,Murray,VIC
135,New England,NSW
136,Newcastle,NSW
137,North Sydney,NSW
243,O'Connor,WA
174,Oxley,QLD
138,Page,NSW
139,Parkes,NSW
140,Parramatta,NSW
249,Paterson,NSW
244,Pearce,WA
245,Perth,WA
175,Petrie,QLD
189,Port Adelaide,SA
176,Rankin,QLD
144,Reid,NSW
145,Richmond,NSW
250,Riverina,NSW
146,Robertson,NSW
177,Ryan,QLD
232,Scullin,VIC
148,Shortland,NSW
307,Solomon,NT
246,Stirling,WA
190,Sturt,SA
247,Swan,WA
149,Sydney,NSW
248,Tangney,WA
191,Wakefield,SA
233,Wannon,VIC
151,Warringah,NSW
251,Watson,NSW
152,Wentworth,NSW
153,Werriwa,NSW
150,Whitlam,NSW
178,Wide Bay,QLD
234,Wills,VIC
316,Wright,QLD
