division_id,ordinary_votes,absent_votes,provisional_votes,prepoll_votes,postal_votes,total_votes
179,79148,6869,686,3444,8515,98662
197,72395,3756,292,3090,9578,89111
198,87377,3439,783,3118,8451,103168
103,81420,4109,469,3395,7095,96488
180,85870,3019,245,2877,6662,98673
104,80543,5648,518,3194,5790,95693
192,59883,1855,227,1807,5132,68904
199,77383,5653,339,4955,9372,97702
200,85737,3368,270,3983,8850,102208
105,79865,4311,320,4014,8663,97173
106,81856,4602,252,3228,8161,98099
304,73236,3827,306,2538,10400,90307
107,77483,4898,605,2486,4842,90314
310,71403,4870,270,2296,13908,92747
182,83229,5812,486,2292,7843,99662
155,81665,2757,154,2711,8692,95979
193,60531,1294,176,1843,4396,68240
108,79269,4412,308,3576,9515,97080
235,69901,4627,449,3815,6528,85320
156,72687,7081,386,4269,12106,96529
201,67480,4036,434,3752,11374,87076
317,72422,5063,576,3139,7061,88261
109,95550,2960,270,3104,3884,105768
203,77797,5434,723,5166,7014,96134
101,117248,1338,477,6789,6458,132310
236,71120,5611,351,3842,7313,88237
157,76185,3356,130,2066,9660,91397
204,75983,4209,325,3612,11722,95851
111,81524,4769,576,2360,4125,93354
205,66438,5146,286,4073,13216,89159
112,82559,4406,382,2201,6820,96368
207,82724,4371,257,4356,11890,103598
208,83256,3476,316,2652,9296,98996
237,69283,6465,381,4097,5982,86208
113,97382,3185,281,3104,5121,109073
114,88550,4119,334,3238,5616,101857
238,68172,5353,401,5035,8575,87536
158,80482,3604,181,3264,7078,94609
209,70763,4709,314,3792,13161,92739
194,57594,2851,282,2206,5723,68656
252,73971,4468,217,3786,11663,94105
115,89475,4261,436,2279,6179,102630
210,73269,4167,332,4385,13291,95444
312,66720,4295,266,2894,5636,79811
117,86744,2071,215,4826,7012,100868
159,76905,4599,343,2924,8876,93647
160,82163,4370,204,3549,8323,98609
118,89854,1575,231,4428,7093,103181
102,113396,1857,532,5693,6139,127617
161,73615,4098,176,3690,8343,89922
211,83601,4634,267,5911,11024,105437
311,71719,4279,197,4165,12541,92901
162,69554,4361,287,2722,11472,88396
239,76442,4573,280,3114,5551,89960
119,82742,4183,723,2243,4729,94620
195,61252,3172,261,2003,5372,72060
240,72051,5734,296,3333,6997,88411
212,78658,4429,603,4580,8015,96285
120,94072,3185,226,3866,6262,107611
213,85237,2109,251,3985,4298,95880
214,73041,4527,287,4366,13682,95903
309,85113,4234,777,4176,9058,103358
121,78013,6279,417,3538,6018,94265
122,83641,4621,465,2308,5330,96365
183,80555,3424,295,2777,6444,93495
163,73854,5831,345,3568,12282,95880
164,75998,3355,156,2016,13102,94627
305,66756,7048,539,3709,6624,84676
165,79672,3107,252,2967,8864,94862
215,68682,5895,413,5881,12970,93841
185,83806,6793,476,2184,9005,102264
166,79774,2377,163,2870,7743,92927
216,83909,5507,628,2732,12097,104873
217,72511,4636,458,3258,9812,90675
124,84270,4864,320,2558,6078,98090
125,86264,4654,368,3200,5753,100239
126,92580,4396,409,2620,4710,104715
218,81104,2140,172,4276,8744,96436
219,77551,5447,404,3926,8681,96009
220,76805,4505,282,3955,9455,95002
167,75582,3568,176,3493,6609,89428
127,83682,4145,374,2797,5985,96983
186,82957,4738,439,1981,6893,97008
221,67487,4917,269,4835,14318,91826
223,74795,5325,348,3939,13644,98051
222,93196,4065,520,3867,10192,111840
168,82637,2312,296,2996,7579,95820
169,78454,4669,260,2741,12926,99050
128,88500,3988,539,2303,5859,101189
306,42399,748,229,1640,1509,46525
302,78578,3376,225,3341,10765,96285
130,91360,4161,334,2898,5698,104451
196,57741,4060,223,3523,6142,71689
131,84647,4700,516,1808,4620,96291
132,84146,4708,356,2839,7186,99235
133,85311,3873,330,2310,6017,97841
187,83807,5833,463,2003,6330,98436
224,80794,2246,198,3730,4767,91735
170,72747,4045,203,3217,15106,95318
225,76709,5095,585,5229,10784,98402
188,82438,4364,367,3085,7690,97944
226,96379,5937,522,5398,12153,120389
315,81388,5987,626,2625,4853,95479
227,88215,3995,346,4542,9938,107036
171,76740,3205,307,3102,9523,92877
228,71159,8118,723,6901,10082,96983
230,62356,6882,418,4885,14024,88565
229,71193,4239,247,3439,12754,91872
134,80278,4771,300,2520,7637,95506
172,73339,4020,385,3158,9069,89971
242,74932,5357,300,3436,6411,90436
173,68072,4947,308,3296,11966,88589
231,82135,2806,267,4217,7121,96546
135,90553,2729,238,2639,6041,102200
136,90757,4303,383,2512,6219,104174
137,78509,4427,372,3612,10180,97100
243,75938,5349,253,2976,5857,90373
174,71148,3979,455,2941,8322,86845
138,97844,2614,268,2931,5136,108793
139,86471,3265,291,2877,5813,98717
140,74100,6212,600,3342,6135,90389
249,92318,3787,417,2531,6158,105211
244,72122,8024,572,3403,7061,91182
245,69571,6091,564,3570,7109,86905
175,77823,3807,185,2753,12111,96679
189,85525,6671,803,1704,7233,101936
176,73998,4123,336,2727,9464,90648
144,78790,4836,375,3435,7909,95345
145,90256,2073,248,3841,5728,102146
250,92788,2878,241,3196,4601,103704
146,86074,4427,275,2802,6741,100319
177,74640,5727,223,4062,12430,97082
232,80221,4825,484,4122,11190,100842
148,89638,4499,369,2299,6078,102883
307,50555,973,249,3234,3654,58665
246,68801,6486,545,3038,7608,86478
190,80058,5578,405,1868,8779,96688
247,64690,6701,475,5589,7009,84464
149,72328,7444,636,5685,7410,93503
248,69241,4890,320,3950,7347,85748
191,86188,5411,662,2175,6967,101403
233,77789,2725,174,4799,7449,92936
151,76568,4915,220,2775,7799,92277
251,79120,5340,750,3066,4884,93160
152,70019,4751,357,3830,9684,88641
153,86095,4673,508,1946,4720,97942
150,93549,3597,358,1991,4574,104069
178,79037,3177,131,3560,8712,94617
234,79320,5864,374,5684,9673,100915
316,70581,5412,200,3877,12228,92298
