division_id,no_enrolled,total_votes,turnout%
179,109217,98662,90.34
197,96043,89111,92.78
198,110755,103168,93.15
103,104891,96488,91.99
180,105600,98673,93.44
104,106511,95693,89.84
192,73555,68904,93.68
199,108935,97702,89.69
200,109604,102208,93.25
105,105962,97173,91.71
106,105245,98099,93.21
304,98368,90307,91.81
107,103506,90314,87.25
310,100799,92747,92.01
182,107325,99662,92.86
155,103446,95979,92.78
193,72529,68240,94.09
108,105662,97080,91.88
235,98025,85320,87.04
156,107003,96529,90.21
201,96742,87076,90.01
317,99474,88261,88.73
109,112957,105768,93.64
203,109405,96134,87.87
101,143231,132310,92.38
236,98894,88237,89.22
157,98190,91397,93.08
204,102908,95851,93.14
111,103864,93354,89.88
205,97424,89159,91.52
112,104340,96368,92.36
207,110277,103598,93.94
208,107808,98996,91.83
237,96213,86208,89.6
113,118260,109073,92.23
114,111304,101857,91.51
238,97534,87536,89.75
158,103665,94609,91.26
209,99698,92739,93.02
194,73963,68656,92.82
252,100674,94105,93.47
115,111630,102630,91.94
210,104957,95444,90.94
312,97294,79811,82.03
117,107817,100868,93.55
159,104710,93647,89.43
160,108247,98609,91.1
118,111388,103181,92.63
102,138814,127617,91.93
161,98592,89922,91.21
211,115356,105437,91.4
311,100667,92901,92.29
162,99010,88396,89.28
239,100262,89960,89.72
119,105449,94620,89.73
195,76784,72060,93.85
240,99550,88411,88.81
212,108469,96285,88.77
120,115878,107611,92.87
213,104088,95880,92.11
214,104895,95903,91.43
309,115977,103358,89.12
121,105586,94265,89.28
122,104377,96365,92.32
183,102059,93495,91.61
163,105828,95880,90.6
164,101512,94627,93.22
305,95334,84676,88.82
165,104815,94862,90.5
215,104678,93841,89.65
185,111715,102264,91.54
166,100687,92927,92.29
216,116291,104873,90.18
217,99994,90675,90.68
124,104413,98090,93.94
125,107130,100239,93.57
126,113417,104715,92.33
218,103734,96436,92.96
219,105756,96009,90.78
220,103132,95002,92.12
167,99883,89428,89.53
127,108671,96983,89.24
186,105682,97008,91.79
221,100140,91826,91.7
223,105731,98051,92.74
222,123609,111840,90.48
168,109077,95820,87.85
169,106969,99050,92.6
128,109724,101189,92.22
306,63131,46525,73.7
302,105026,96285,91.68
130,111790,104451,93.44
196,76639,71689,93.54
131,104857,96291,91.83
132,108268,99235,91.66
133,104774,97841,93.38
187,107086,98436,91.92
224,99324,91735,92.36
170,102780,95318,92.74
225,110286,98402,89.22
188,103981,97944,94.19
226,130612,120389,92.17
315,106159,95479,89.94
227,116200,107036,92.11
171,103761,92877,89.51
228,111741,96983,86.79
230,102283,88565,86.59
229,99205,91872,92.61
134,102410,95506,93.26
172,102982,89971,87.37
242,99887,90436,90.54
173,97782,88589,90.6
231,104359,96546,92.51
135,109461,102200,93.37
136,113334,104174,91.92
137,107040,97100,90.71
243,101778,90373,88.79
174,94997,86845,91.42
138,117263,108793,92.78
139,107363,98717,91.95
140,101538,90389,89.02
249,112541,105211,93.49
244,104392,91182,87.35
245,98714,86905,88.04
175,105390,96679,91.73
189,113346,101936,89.93
176,101700,90648,89.13
144,105459,95345,90.41
145,112715,102146,90.62
250,111026,103704,93.41
146,108435,100319,92.52
177,105037,97082,92.43
232,110570,100842,91.2
148,110100,102883,93.45
307,69998,58665,83.81
246,98571,86478,87.73
190,104742,96688,92.31
247,97268,84464,86.84
149,110302,93503,84.77
248,94025,85748,91.2
191,112251,101403,90.34
233,99155,92936,93.73
151,102645,92277,89.9
251,105422,93160,88.37
152,102782,88641,86.24
153,108557,97942,90.22
150,112051,104069,92.88
178,102856,94617,91.99
234,113851,100915,88.64
316,99969,92298,92.33
