division_id,total_enrolled,total_votes,turnout_percent
179,109217,98662,90.3
197,96043,89111,92.8
198,110755,103168,93.2
103,104891,96488,92.0
180,105600,98673,93.4
104,106511,95693,89.8
192,73555,68904,93.7
199,108935,97702,89.7
200,109604,102208,93.2
105,105962,97173,91.7
106,105245,98099,93.2
304,98368,90307,91.8
107,103506,90314,87.2
310,100799,92747,92.0
182,107325,99662,92.9
155,103446,95979,92.8
193,72529,68240,94.1
108,105662,97080,91.9
235,98025,85320,87.0
156,107003,96529,90.2
201,96742,87076,90.0
317,99474,88261,88.7
109,112957,105768,93.6
203,109405,96134,87.9
101,143231,132310,92.4
236,98894,88237,89.2
157,98190,91397,93.1
204,102908,95851,93.1
111,103864,93354,89.9
205,97424,89159,91.5
112,104340,96368,92.4
207,110277,103598,93.9
208,107808,98996,91.8
237,96213,86208,89.6
113,118260,109073,92.2
114,111304,101857,91.5
238,97534,87536,89.8
158,103665,94609,91.3
209,99698,92739,93.0
194,73963,68656,92.8
252,100674,94105,93.5
115,111630,102630,91.9
210,104957,95444,90.9
312,97294,79811,82.0
117,107817,100868,93.6
159,104710,93647,89.4
160,108247,98609,91.1
118,111388,103181,92.6
102,138814,127617,91.9
161,98592,89922,91.2
211,115356,105437,91.4
311,100667,92901,92.3
162,99010,88396,89.3
239,100262,89960,89.7
119,105449,94620,89.7
195,76784,72060,93.8
240,99550,88411,88.8
212,108469,96285,88.8
120,115878,107611,92.9
213,104088,95880,92.1
214,104895,95903,91.4
309,115977,103358,89.1
121,105586,94265,89.3
122,104377,96365,92.3
183,102059,93495,91.6
163,105828,95880,90.6
164,101512,94627,93.2
305,95334,84676,88.8
165,104815,94862,90.5
215,104678,93841,89.6
185,111715,102264,91.5
166,100687,92927,92.3
216,116291,104873,90.2
217,99994,90675,90.7
124,104413,98090,93.9
125,107130,100239,93.6
126,113417,104715,92.3
218,103734,96436,93.0
219,105756,96009,90.8
220,103132,95002,92.1
167,99883,89428,89.5
127,108671,96983,89.2
186,105682,97008,91.8
221,100140,91826,91.7
223,105731,98051,92.7
222,123609,111840,90.5
168,109077,95820,87.8
169,106969,99050,92.6
128,109724,101189,92.2
306,63131,46525,73.7
302,105026,96285,91.7
130,111790,104451,93.4
196,76639,71689,93.5
131,104857,96291,91.8
132,108268,99235,91.7
133,104774,97841,93.4
187,107086,98436,91.9
224,99324,91735,92.4
170,102780,95318,92.7
225,110286,98402,89.2
188,103981,97944,94.2
226,130612,120389,92.2
315,106159,95479,89.9
227,116200,107036,92.1
171,103761,92877,89.5
228,111741,96983,86.8
230,102283,88565,86.6
229,99205,91872,92.6
134,102410,95506,93.3
172,102982,89971,87.4
242,99887,90436,90.5
173,97782,88589,90.6
231,104359,96546,92.5
135,109461,102200,93.4
136,113334,104174,91.9
137,107040,97100,90.7
243,101778,90373,88.8
174,94997,86845,91.4
138,117263,108793,92.8
139,107363,98717,92.0
140,101538,90389,89.0
249,112541,105211,93.5
244,104392,91182,87.4
245,98714,86905,88.0
175,105390,96679,91.7
189,113346,101936,89.9
176,101700,90648,89.1
144,105459,95345,90.4
145,112715,102146,90.6
250,111026,103704,93.4
146,108435,100319,92.5
177,105037,97082,92.4
232,110570,100842,91.2
148,110100,102883,93.4
307,69998,58665,83.8
246,98571,86478,87.7
190,104742,96688,92.3
247,97268,84464,86.8
149,110302,93503,84.8
248,94025,85748,91.2
191,112251,101403,90.3
233,99155,92936,93.7
151,102645,92277,89.9
251,105422,93160,88.4
152,102782,88641,86.2
153,108557,97942,90.2
150,112051,104069,92.9
178,102856,94617,92.0
234,113851,100915,88.6
316,99969,92298,92.3
