division_id,yes_count,no_count,total_responses,response_unclear,non_responding
103,37736,46343,84079,247,20928
104,37153,47984,85137,226,24008
105,42943,43215,86158,244,19973
106,48471,40369,88840,212,16038
107,20406,57926,78332,220,25883
108,53681,34927,88608,202,17261
109,54091,35779,89870,285,25342
111,32871,46702,79573,263,28180
112,47505,38804,86309,229,18713
113,57493,38317,95810,315,25197
114,60906,31840,92746,268,20607
115,59475,30987,90462,255,24275
117,57223,30926,88149,249,22139
118,48432,39297,87729,277,25669
119,27847,48782,76629,228,29251
120,59322,36386,95708,303,23109
121,73208,18429,91637,136,16074
122,38016,43980,81996,217,25253
124,51337,36558,87895,185,17038
125,51284,36271,87555,213,23457
126,59137,32723,91860,251,25253
127,56297,31510,87807,225,22399
128,49071,38295,87366,234,26955
130,51416,41539,92955,316,21426
131,43323,39907,83230,228,27271
132,62350,29330,91680,208,17500
133,56180,31778,87958,235,18490
315,29146,53967,83113,242,23721
134,42112,43652,85764,176,19436
136,71158,23999,95157,232,19970
135,44608,40324,84932,256,25581
137,64813,25473,90286,193,17538
138,55943,37727,93670,291,25645
139,41408,37108,78516,241,29777
140,29299,47038,76337,197,25757
249,60915,32059,92974,279,24264
144,43567,39061,82628,203,23786
145,62591,29625,92216,274,22719
250,47333,39308,86641,265,25632
146,58689,30614,89303,231,20431
148,62455,29836,92291,255,19675
149,76144,14860,91004,146,22093
151,64999,21660,86659,172,16630
251,24915,57160,82075,205,24634
152,69279,16410,85689,162,18121
153,30252,53174,83426,269,29282
150,57562,34879,92441,276,23064
197,48455,29730,78185,234,17664
198,65613,27405,93018,333,20923
199,66383,26906,93289,287,17901
200,63412,28852,92264,333,19360
201,34644,39203,73847,257,21261
203,37839,49823,87662,331,23588
204,59959,28144,88103,316,16807
205,49448,30844,80292,271,17188
207,69723,27708,97431,326,17123
208,62658,29865,92523,359,18255
209,55464,28973,84437,276,15389
210,62840,24471,87311,285,19322
211,68291,29275,97566,336,21407
212,62045,29065,91110,278,19771
213,51196,33910,85106,338,20370
214,69726,21663,91389,238,14857
309,49834,43587,93421,347,27479
215,70059,19375,89434,180,16615
216,47147,45875,93022,289,28260
217,47986,32524,80510,303,19732
218,54563,31925,86488,324,18934
219,56645,30063,86708,275,20692
220,65098,23453,88551,255,15363
221,63592,22729,86321,231,14147
222,57062,43429,100491,345,30127
223,61807,29826,91633,268,19002
224,42495,35795,78290,359,21207
225,53208,35658,88866,360,23762
226,73705,39007,112712,377,26966
227,61479,36500,97979,372,22403
228,81287,15839,97126,182,20154
230,70589,15523,86112,198,18745
229,47137,35626,82763,258,15745
231,48205,35452,83657,357,21560
232,48245,42147,90392,357,22817
233,49340,31529,80869,343,18569
234,68450,29399,97849,250,20169
304,47194,31433,78627,256,23975
310,52139,31891,84030,209,17981
155,53529,32627,86156,220,19691
156,72812,18762,91574,159,20656
157,39917,33917,73834,230,24896
158,42539,34599,77138,205,26943
252,54206,28988,83194,190,18527
159,52154,32218,84372,215,26234
160,58510,32451,90961,277,21335
161,52023,30783,82806,258,19625
311,39020,36783,75803,262,24529
162,46937,30585,77522,231,24423
163,69171,21132,90303,184,20133
164,40536,41915,82451,262,20717
165,48110,28441,76551,207,29665
166,40649,39548,80197,308,22425
167,33160,37784,70944,263,29794
168,47750,27606,75356,239,35841
169,59991,28671,88662,218,20249
302,51268,33576,84844,258,24250
170,35475,45308,80783,352,22553
171,54034,28486,82520,229,23214
172,50566,28717,79283,214,25232
173,47418,30413,77831,220,20020
174,44655,29365,74020,224,23348
175,53144,33067,86211,200,23323
176,41570,34621,76191,237,26119
177,64967,24451,89418,162,16223
178,46507,37065,83572,319,21645
316,47109,35812,82921,280,22144
179,62769,26771,89540,217,20477
180,42498,38827,81325,243,24297
182,62139,28556,90695,234,16919
183,40811,35750,76561,260,25327
185,57947,33613,91560,273,20548
186,58863,27567,86430,252,20764
187,51547,33743,85290,242,21991
188,57361,31247,88608,261,17239
189,53649,33869,87518,276,27253
190,52308,32655,84963,252,19410
191,52636,33649,86285,268,27802
235,51953,25481,77434,194,24466
317,44058,33275,77333,169,24197
236,48486,32019,80505,214,22157
237,44388,31075,75463,184,21330
238,59638,22943,82581,178,15706
312,39304,27128,66432,194,31428
239,51612,29285,80897,225,21752
240,57541,24559,82100,236,19878
305,47880,28836,76716,230,19570
242,56690,26690,83380,195,16916
243,43554,33987,77541,234,24925
244,54305,30699,85004,209,26401
245,57510,22967,80477,177,19479
246,47225,30060,77285,190,21345
247,49093,26830,75923,185,21857
248,48338,30090,78428,174,14926
192,36249,22510,58759,145,15487
193,30054,25573,55627,154,17632
194,45005,15992,60997,167,13092
195,44746,20322,65068,163,13605
196,35894,25258,61152,176,17204
306,19026,15898,34924,106,34854
307,29660,15792,45452,123,22642
101,89590,31361,120951,281,24399
102,85869,30159,116028,253,26196
