division_id,ages_18-34,ages_35-49,ages_50-64,ages_65-79,ages_80+
179,24474.0,20770.0,22353.0,15429.0,5396.0
197,20745.0,18667.0,21236.0,13420.0,3638.0
198,22345.0,22008.0,24709.0,18264.0,5257.0
103,20562.0,20416.0,22008.0,14571.0,6289.0
180,14079.0,16493.0,24109.0,20212.0,6231.0
104,22459.0,22667.0,20336.0,14115.0,5390.0
192,13117.0,12785.0,16087.0,12592.0,3977.0
199,27707.0,27071.0,20202.0,12385.0,5343.0
200,20851.0,20709.0,24976.0,19446.0,5779.0
105,22006.0,21709.0,22329.0,13885.0,5993.0
106,20596.0,21420.0,24912.0,16287.0,5236.0
304,21413.0,19210.0,20289.0,13662.0,3578.0
107,22762.0,19241.0,19536.0,12370.0,4412.0
310,20760.0,22393.0,21301.0,14180.0,4918.0
182,20562.0,20330.0,23584.0,18370.0,6838.0
155,18930.0,19632.0,24059.0,18097.0,4965.0
193,10620.0,11257.0,16284.0,13443.0,3963.0
108,19922.0,22342.0,22910.0,15990.0,7029.0
235,22082.0,19910.0,18856.0,12273.0,3451.0
156,33378.0,24584.0,19433.0,10183.0,3067.0
201,17082.0,16516.0,18594.0,16021.0,5526.0
317,22417.0,19992.0,18776.0,12189.0,3023.0
109,20137.0,19909.0,24282.0,19543.0,5790.0
203,25334.0,21722.0,23981.0,13430.0,3091.0
101,34122.0,29753.0,30462.0,19769.0,5634.0
236,17183.0,16767.0,21299.0,19364.0,5255.0
157,17469.0,17870.0,21019.0,13551.0,3932.0
204,23089.0,21544.0,23014.0,15923.0,3949.0
111,23598.0,20858.0,20058.0,12076.0,2851.0
205,20096.0,19377.0,19254.0,14150.0,7087.0
112,20012.0,20571.0,21682.0,16451.0,7142.0
207,22813.0,23588.0,25115.0,19299.0,5961.0
208,22850.0,20668.0,23954.0,18633.0,5817.0
237,20472.0,20413.0,19091.0,11885.0,2768.0
113,16630.0,18188.0,27041.0,25275.0,8493.0
114,24761.0,21451.0,23376.0,16426.0,6226.0
238,21190.0,19048.0,20724.0,15102.0,5603.0
158,17529.0,18864.0,22493.0,14316.0,3857.0
209,20143.0,22052.0,19809.0,15631.0,6182.0
194,15200.0,13960.0,15920.0,11558.0,3969.0
252,20856.0,23375.0,21749.0,13859.0,2683.0
115,21607.0,20004.0,22873.0,18686.0,6744.0
210,20495.0,20689.0,21799.0,17855.0,5819.0
312,15395.0,17845.0,19099.0,11135.0,2627.0
117,17362.0,20119.0,26493.0,18827.0,4907.0
159,19957.0,19996.0,21534.0,17784.0,4588.0
160,18393.0,21261.0,25174.0,19947.0,5838.0
118,17733.0,17943.0,24587.0,20572.0,6817.0
102,36504.0,34439.0,24508.0,15472.0,4067.0
161,16010.0,18288.0,21933.0,20050.0,6116.0
211,19148.0,20677.0,25992.0,24192.0,7098.0
311,17120.0,19077.0,22631.0,14029.0,2983.0
162,20800.0,20007.0,19312.0,13860.0,3139.0
239,16136.0,19898.0,22962.0,17105.0,4510.0
119,20841.0,17739.0,21281.0,13024.0,3756.0
