electoral_division,division_id,0-17,18-34,35-49,50-64,65-79,80+,pop_count_est
Adelaide,179.0,0.179,0.313,0.195,0.166,0.102,0.045,188410.0
Aston,197.0,0.215,0.234,0.205,0.193,0.115,0.038,161813.0
Ballarat,198.0,0.231,0.22,0.189,0.188,0.13,0.042,154461.0
Banks,103.0,0.21,0.253,0.197,0.182,0.108,0.049,164403.0
Barker,180.0,0.221,0.187,0.183,0.21,0.15,0.049,171058.0
Barton,104.0,0.184,0.32,0.202,0.155,0.097,0.043,187865.0
Bass,192.0,0.214,0.215,0.18,0.2,0.145,0.046,104784.0
Batman,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bendigo,200.0,0.227,0.209,0.185,0.195,0.138,0.046,150775.0
Bennelong,105.0,0.2,0.287,0.207,0.166,0.096,0.044,181093.0
Berowra,106.0,0.237,0.188,0.207,0.201,0.123,0.044,151143.0
Blair,304.0,0.268,0.242,0.192,0.17,0.1,0.028,171503.0
Blaxland,107.0,0.246,0.294,0.185,0.156,0.085,0.033,186933.0
Bonner,310.0,0.234,0.234,0.216,0.173,0.104,0.039,158647.0
Boothby,182.0,0.191,0.231,0.19,0.188,0.136,0.065,170797.0
Bowman,155.0,0.231,0.197,0.195,0.201,0.134,0.042,154617.0
Braddon,193.0,0.218,0.187,0.176,0.213,0.158,0.049,104992.0
Bradfield,108.0,0.243,0.199,0.217,0.176,0.112,0.054,169310.0
Brand,235.0,0.262,0.257,0.208,0.158,0.088,0.026,172893.0
Brisbane,156.0,0.156,0.385,0.214,0.148,0.073,0.024,174646.0
Bruce,201.0,0.216,0.277,0.191,0.173,0.107,0.036,190121.0
Burt,317.0,0.258,0.265,0.211,0.157,0.086,0.023,177620.0
Calare,109.0,0.24,0.209,0.181,0.189,0.136,0.045,165791.0
Calwell,203.0,0.269,0.277,0.203,0.154,0.078,0.019,178293.0
Canberra,101.0,0.178,0.325,0.196,0.159,0.101,0.041,133077.0
Canning,236.0,0.233,0.203,0.186,0.188,0.147,0.043,153064.0
Capricornia,157.0,0.25,0.223,0.197,0.189,0.107,0.033,154875.0
Casey,204.0,0.232,0.215,0.203,0.197,0.122,0.032,156659.0
Chifley,111.0,0.272,0.264,0.198,0.158,0.085,0.023,181130.0
Chisholm,205.0,0.201,0.274,0.194,0.164,0.11,0.058,182123.0
Cook,112.0,0.212,0.213,0.205,0.185,0.126,0.058,146798.0
Corangamite,207.0,0.231,0.198,0.193,0.188,0.145,0.046,143540.0
Corio,208.0,0.217,0.24,0.19,0.183,0.121,0.049,154460.0
Cowan,237.0,0.252,0.243,0.214,0.172,0.094,0.026,153170.0
Cowper,113.0,0.212,0.169,0.165,0.212,0.176,0.066,164058.0
Cunningham,114.0,0.209,0.255,0.189,0.18,0.117,0.05,162773.0
Curtin,238.0,0.212,0.25,0.199,0.175,0.116,0.048,151384.0
Dawson,158.0,0.235,0.227,0.2,0.196,0.11,0.032,157233.0
Deakin,209.0,0.223,0.227,0.213,0.174,0.119,0.046,162276.0
Denison,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dickson,252.0,0.259,0.215,0.22,0.18,0.104,0.023,159328.0
Dobell,115.0,0.237,0.204,0.187,0.183,0.135,0.054,159598.0
Dunkley,210.0,0.228,0.22,0.208,0.186,0.118,0.04,159581.0
Durack,312.0,0.246,0.244,0.224,0.185,0.082,0.019,186187.0
Eden-Monaro,117.0,0.22,0.184,0.193,0.219,0.142,0.041,152444.0
Fadden,159.0,0.231,0.231,0.201,0.177,0.125,0.036,175618.0
Fairfax,160.0,0.225,0.191,0.198,0.197,0.142,0.047,156273.0
Farrer,118.0,0.233,0.198,0.175,0.196,0.145,0.053,168506.0
Fenner,102.0,0.255,0.282,0.234,0.137,0.075,0.017,142439.0
Fisher,161.0,0.22,0.187,0.19,0.193,0.155,0.054,154117.0
Flinders,211.0,0.204,0.172,0.182,0.197,0.181,0.065,145119.0
Flynn,311.0,0.262,0.21,0.201,0.196,0.108,0.024,158366.0
Forde,162.0,0.268,0.242,0.204,0.161,0.1,0.025,175932.0
Forrest,239.0,0.247,0.189,0.204,0.195,0.128,0.037,152460.0
Fowler,119.0,0.231,0.258,0.192,0.185,0.1,0.034,173263.0
Franklin,195.0,0.225,0.186,0.19,0.204,0.148,0.047,102079.0
Fremantle,240.0,0.221,0.246,0.223,0.176,0.1,0.034,156992.0
Gellibrand,212.0,0.233,0.257,0.243,0.156,0.08,0.031,180010.0
Gilmore,120.0,0.198,0.162,0.16,0.218,0.198,0.064,155491.0
Gippsland,213.0,0.214,0.193,0.17,0.211,0.164,0.05,147888.0
Goldstein,214.0,0.226,0.192,0.211,0.195,0.12,0.055,158481.0
Gorton,309.0,0.282,0.255,0.231,0.144,0.074,0.015,183866.0
Grayndler,121.0,0.177,0.293,0.248,0.163,0.089,0.03,159721.0
Greenway,122.0,0.264,0.252,0.235,0.15,0.077,0.021,180875.0
Grey,183.0,0.222,0.186,0.176,0.216,0.154,0.047,173424.0
Griffith,163.0,0.188,0.339,0.224,0.149,0.072,0.027,162832.0
Groom,164.0,0.249,0.225,0.182,0.175,0.122,0.046,153895.0
Hasluck,305.0,0.231,0.227,0.205,0.185,0.118,0.034,148225.0
Herbert,165.0,0.246,0.277,0.195,0.165,0.092,0.024,165377.0
Higgins,215.0,0.174,0.325,0.201,0.157,0.102,0.041,172005.0
Hindmarsh,185.0,0.189,0.227,0.194,0.197,0.132,0.06,165766.0
Hinkler,166.0,0.213,0.167,0.165,0.203,0.195,0.058,146631.0
Holt,216.0,0.286,0.266,0.222,0.143,0.067,0.017,184226.0
Hotham,217.0,0.192,0.302,0.194,0.152,0.11,0.05,188320.0
Hughes,124.0,0.247,0.215,0.214,0.183,0.107,0.035,149514.0
Hume,125.0,0.252,0.213,0.198,0.184,0.118,0.034,158069.0
Hunter,126.0,0.238,0.212,0.186,0.187,0.132,0.046,161803.0
Indi,218.0,0.219,0.178,0.179,0.215,0.158,0.051,148105.0
Isaacs,219.0,0.221,0.22,0.226,0.176,0.11,0.047,160723.0
Jagajaga,220.0,0.221,0.224,0.21,0.183,0.119,0.043,153923.0
Kennedy,167.0,0.251,0.202,0.185,0.197,0.128,0.035,168690.0
Kingsford Smith,127.0,0.175,0.342,0.207,0.147,0.092,0.036,190884.0
Kingston,186.0,0.224,0.223,0.195,0.193,0.126,0.038,162107.0
Kooyong,221.0,0.207,0.262,0.191,0.18,0.111,0.049,166419.0
La Trobe,223.0,0.272,0.241,0.218,0.158,0.086,0.025,162012.0
Lalor,222.0,0.281,0.281,0.221,0.136,0.065,0.016,193726.0
Leichhardt,168.0,0.245,0.227,0.213,0.192,0.101,0.023,175479.0
Lilley,169.0,0.211,0.264,0.213,0.164,0.102,0.046,158758.0
Lindsay,128.0,0.252,0.264,0.204,0.161,0.095,0.024,174495.0
Lingiari,306.0,0.27,0.284,0.215,0.166,0.057,0.008,132479.0
Longman,302.0,0.246,0.219,0.186,0.18,0.135,0.034,169165.0
Lyne,130.0,0.205,0.144,0.158,0.222,0.206,0.066,149409.0
Lyons,196.0,0.22,0.177,0.179,0.224,0.16,0.039,104176.0
Macarthur,131.0,0.265,0.261,0.197,0.167,0.09,0.019,173553.0
Mackellar,132.0,0.231,0.185,0.214,0.188,0.131,0.052,156838.0
Macquarie,133.0,0.232,0.197,0.198,0.203,0.134,0.036,145602.0
Makin,187.0,0.221,0.234,0.202,0.179,0.125,0.039,170829.0
Mallee,224.0,0.22,0.187,0.167,0.208,0.158,0.06,155839.0
Maranoa,170.0,0.242,0.186,0.177,0.202,0.149,0.043,151532.0
Maribyrnong,225.0,0.195,0.287,0.216,0.162,0.097,0.043,170360.0
Mayo,188.0,0.221,0.167,0.188,0.211,0.166,0.047,163904.0
McEwen,226.0,0.268,0.221,0.215,0.175,0.098,0.023,153859.0
McMahon,315.0,0.245,0.259,0.197,0.17,0.097,0.03,174690.0
McMillan,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McPherson,171.0,0.219,0.218,0.206,0.182,0.127,0.047,159569.0
Melbourne,228.0,0.099,0.544,0.173,0.107,0.059,0.019,215951.0
Melbourne Ports,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menzies,229.0,0.211,0.205,0.197,0.196,0.137,0.053,158381.0
Mitchell,134.0,0.258,0.206,0.231,0.171,0.106,0.029,163922.0
Moncrieff,172.0,0.175,0.271,0.196,0.179,0.133,0.045,177222.0
Moore,242.0,0.234,0.209,0.209,0.21,0.11,0.028,145796.0
Moreton,173.0,0.208,0.316,0.202,0.15,0.09,0.033,172632.0
Murray,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New England,135.0,0.236,0.203,0.171,0.195,0.146,0.049,158025.0
Newcastle,136.0,0.202,0.279,0.193,0.176,0.106,0.044,159907.0
North Sydney,137.0,0.199,0.261,0.234,0.162,0.104,0.039,173535.0
O'Connor,243.0,0.24,0.198,0.192,0.205,0.128,0.036,158996.0
Oxley,174.0,0.269,0.256,0.215,0.158,0.08,0.021,178110.0
Page,138.0,0.219,0.167,0.172,0.225,0.162,0.055,162962.0
Parkes,139.0,0.246,0.208,0.173,0.196,0.132,0.045,157401.0
Parramatta,140.0,0.222,0.315,0.215,0.143,0.078,0.028,199947.0
Paterson,249.0,0.239,0.211,0.184,0.184,0.14,0.042,161705.0
Pearce,244.0,0.27,0.254,0.214,0.157,0.085,0.02,194221.0
Perth,245.0,0.166,0.312,0.212,0.17,0.101,0.039,158995.0
Petrie,175.0,0.242,0.219,0.205,0.168,0.121,0.045,173680.0
Port Adelaide,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rankin,176.0,0.275,0.261,0.204,0.156,0.085,0.018,188419.0
Reid,144.0,0.175,0.342,0.205,0.154,0.087,0.037,196085.0
Richmond,145.0,0.204,0.163,0.184,0.218,0.166,0.065,159902.0
Riverina,250.0,0.239,0.208,0.173,0.189,0.14,0.051,159291.0
Robertson,146.0,0.214,0.189,0.188,0.198,0.15,0.06,148175.0
Ryan,177.0,0.219,0.296,0.201,0.154,0.098,0.033,163182.0
Scullin,232.0,0.235,0.274,0.208,0.16,0.094,0.03,170817.0
Shortland,148.0,0.223,0.194,0.184,0.194,0.151,0.054,148551.0
Solomon,307.0,0.236,0.297,0.224,0.162,0.069,0.011,117481.0
Stirling,246.0,0.201,0.271,0.205,0.165,0.114,0.044,154409.0
Sturt,190.0,0.202,0.224,0.195,0.18,0.137,0.062,179889.0
Swan,247.0,0.18,0.334,0.197,0.155,0.095,0.039,170358.0
Sydney,149.0,0.081,0.509,0.209,0.122,0.063,0.017,223820.0
Tangney,248.0,0.219,0.213,0.196,0.193,0.127,0.052,140682.0
Wakefield,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wannon,233.0,0.219,0.184,0.178,0.214,0.153,0.053,153570.0
Warringah,151.0,0.219,0.221,0.237,0.174,0.109,0.041,158060.0
Watson,251.0,0.234,0.28,0.197,0.161,0.091,0.037,185967.0
Wentworth,152.0,0.177,0.29,0.228,0.154,0.107,0.043,158854.0
Werriwa,153.0,0.273,0.249,0.208,0.169,0.079,0.022,181173.0
Whitlam,150.0,0.234,0.2,0.184,0.188,0.144,0.049,158340.0
