2016 Federal Election House of Representatives Votes By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:39 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,109217,79148,6869,686,3444,8515,98662,90.34
197,Aston,VIC,96043,72395,3756,292,3090,9578,89111,92.78
198,Ballarat,VIC,110755,87377,3439,783,3118,8451,103168,93.15
103,Banks,NSW,104891,81420,4109,469,3395,7095,96488,91.99
180,Barker,SA,105600,85870,3019,245,2877,6662,98673,93.44
104,Barton,NSW,106511,80543,5648,518,3194,5790,95693,89.84
192,Bass,TAS,73555,59883,1855,227,1807,5132,68904,93.68
199,Batman,VIC,108935,77383,5653,339,4955,9372,97702,89.69
200,Bendigo,VIC,109604,85737,3368,270,3983,8850,102208,93.25
105,Bennelong,NSW,105962,79865,4311,320,4014,8663,97173,91.71
106,Berowra,NSW,105245,81856,4602,252,3228,8161,98099,93.21
304,Blair,QLD,98368,73236,3827,306,2538,10400,90307,91.81
107,Blaxland,NSW,103506,77483,4898,605,2486,4842,90314,87.25
310,Bonner,QLD,100799,71403,4870,270,2296,13908,92747,92.01
182,Boothby,SA,107325,83229,5812,486,2292,7843,99662,92.86
155,Bowman,QLD,103446,81665,2757,154,2711,8692,95979,92.78
193,Braddon,TAS,72529,60531,1294,176,1843,4396,68240,94.09
108,Bradfield,NSW,105662,79269,4412,308,3576,9515,97080,91.88
235,Brand,WA,98025,69901,4627,449,3815,6528,85320,87.04
156,Brisbane,QLD,107003,72687,7081,386,4269,12106,96529,90.21
201,Bruce,VIC,96742,67480,4036,434,3752,11374,87076,90.01
317,Burt,WA,99474,72422,5063,576,3139,7061,88261,88.73
109,Calare,NSW,112957,95550,2960,270,3104,3884,105768,93.64
203,Calwell,VIC,109405,77797,5434,723,5166,7014,96134,87.87
101,Canberra,ACT,143231,117248,1338,477,6789,6458,132310,92.38
236,Canning,WA,98894,71120,5611,351,3842,7313,88237,89.22
157,Capricornia,QLD,98190,76185,3356,130,2066,9660,91397,93.08
204,Casey,VIC,102908,75983,4209,325,3612,11722,95851,93.14
111,Chifley,NSW,103864,81524,4769,576,2360,4125,93354,89.88
205,Chisholm,VIC,97424,66438,5146,286,4073,13216,89159,91.52
112,Cook,NSW,104340,82559,4406,382,2201,6820,96368,92.36
207,Corangamite,VIC,110277,82724,4371,257,4356,11890,103598,93.94
208,Corio,VIC,107808,83256,3476,316,2652,9296,98996,91.83
237,Cowan,WA,96213,69283,6465,381,4097,5982,86208,89.6
113,Cowper,NSW,118260,97382,3185,281,3104,5121,109073,92.23
114,Cunningham,NSW,111304,88550,4119,334,3238,5616,101857,91.51
238,Curtin,WA,97534,68172,5353,401,5035,8575,87536,89.75
158,Dawson,QLD,103665,80482,3604,181,3264,7078,94609,91.26
209,Deakin,VIC,99698,70763,4709,314,3792,13161,92739,93.02
194,Denison,TAS,73963,57594,2851,282,2206,5723,68656,92.82
252,Dickson,QLD,100674,73971,4468,217,3786,11663,94105,93.47
115,Dobell,NSW,111630,89475,4261,436,2279,6179,102630,91.94
210,Dunkley,VIC,104957,73269,4167,332,4385,13291,95444,90.94
312,Durack,WA,97294,66720,4295,266,2894,5636,79811,82.03
117,Eden-Monaro,NSW,107817,86744,2071,215,4826,7012,100868,93.55
159,Fadden,QLD,104710,76905,4599,343,2924,8876,93647,89.43
160,Fairfax,QLD,108247,82163,4370,204,3549,8323,98609,91.1
118,Farrer,NSW,111388,89854,1575,231,4428,7093,103181,92.63
102,Fenner,ACT,138814,113396,1857,532,5693,6139,127617,91.93
161,Fisher,QLD,98592,73615,4098,176,3690,8343,89922,91.21
211,Flinders,VIC,115356,83601,4634,267,5911,11024,105437,91.4
311,Flynn,QLD,100667,71719,4279,197,4165,12541,92901,92.29
162,Forde,QLD,99010,69554,4361,287,2722,11472,88396,89.28
239,Forrest,WA,100262,76442,4573,280,3114,5551,89960,89.72
119,Fowler,NSW,105449,82742,4183,723,2243,4729,94620,89.73
195,Franklin,TAS,76784,61252,3172,261,2003,5372,72060,93.85
240,Fremantle,WA,99550,72051,5734,296,3333,6997,88411,88.81
212,Gellibrand,VIC,108469,78658,4429,603,4580,8015,96285,88.77
120,Gilmore,NSW,115878,94072,3185,226,3866,6262,107611,92.87
213,Gippsland,VIC,104088,85237,2109,251,3985,4298,95880,92.11
214,Goldstein,VIC,104895,73041,4527,287,4366,13682,95903,91.43
309,Gorton,VIC,115977,85113,4234,777,4176,9058,103358,89.12
121,Grayndler,NSW,105586,78013,6279,417,3538,6018,94265,89.28
122,Greenway,NSW,104377,83641,4621,465,2308,5330,96365,92.32
183,Grey,SA,102059,80555,3424,295,2777,6444,93495,91.61
163,Griffith,QLD,105828,73854,5831,345,3568,12282,95880,90.6
164,Groom,QLD,101512,75998,3355,156,2016,13102,94627,93.22
305,Hasluck,WA,95334,66756,7048,539,3709,6624,84676,88.82
165,Herbert,QLD,104815,79672,3107,252,2967,8864,94862,90.5
215,Higgins,VIC,104678,68682,5895,413,5881,12970,93841,89.65
185,Hindmarsh,SA,111715,83806,6793,476,2184,9005,102264,91.54
166,Hinkler,QLD,100687,79774,2377,163,2870,7743,92927,92.29
216,Holt,VIC,116291,83909,5507,628,2732,12097,104873,90.18
217,Hotham,VIC,99994,72511,4636,458,3258,9812,90675,90.68
124,Hughes,NSW,104413,84270,4864,320,2558,6078,98090,93.94
125,Hume,NSW,107130,86264,4654,368,3200,5753,100239,93.57
126,Hunter,NSW,113417,92580,4396,409,2620,4710,104715,92.33
218,Indi,VIC,103734,81104,2140,172,4276,8744,96436,92.96
219,Isaacs,VIC,105756,77551,5447,404,3926,8681,96009,90.78
220,Jagajaga,VIC,103132,76805,4505,282,3955,9455,95002,92.12
167,Kennedy,QLD,99883,75582,3568,176,3493,6609,89428,89.53
127,Kingsford Smith,NSW,108671,83682,4145,374,2797,5985,96983,89.24
186,Kingston,SA,105682,82957,4738,439,1981,6893,97008,91.79
221,Kooyong,VIC,100140,67487,4917,269,4835,14318,91826,91.7
223,La Trobe,VIC,105731,74795,5325,348,3939,13644,98051,92.74
222,Lalor,VIC,123609,93196,4065,520,3867,10192,111840,90.48
168,Leichhardt,QLD,109077,82637,2312,296,2996,7579,95820,87.85
