electoral_division,state,yes,no,response_clear,response_unclear,nonresponding
Banks,New South Wales,37736,46343,84079,247,20928
Barton,New South Wales,37153,47984,85137,226,24008
Bennelong,New South Wales,42943,43215,86158,244,19973
Berowra,New South Wales,48471,40369,88840,212,16038
Blaxland,New South Wales,20406,57926,78332,220,25883
Bradfield,New South Wales,53681,34927,88608,202,17261
Calare,New South Wales,54091,35779,89870,285,25342
Chifley,New South Wales,32871,46702,79573,263,28180
Cook,New South Wales,47505,38804,86309,229,18713
Cowper,New South Wales,57493,38317,95810,315,25197
Cunningham,New South Wales,60906,31840,92746,268,20607
Dobell,New South Wales,59475,30987,90462,255,24275
Eden-Monaro,New South Wales,57223,30926,88149,249,22139
Farrer,New South Wales,48432,39297,87729,277,25669
Fowler,New South Wales,27847,48782,76629,228,29251
Gilmore,New South Wales,59322,36386,95708,303,23109
Grayndler,New South Wales,73208,18429,91637,136,16074
Greenway,New South Wales,38016,43980,81996,217,25253
Hughes,New South Wales,51337,36558,87895,185,17038
Hume,New South Wales,51284,36271,87555,213,23457
Hunter,New South Wales,59137,32723,91860,251,25253
Kingsford Smith,New South Wales,56297,31510,87807,225,22399
Lindsay,New South Wales,49071,38295,87366,234,26955
Lyne,New South Wales,51416,41539,92955,316,21426
Macarthur,New South Wales,43323,39907,83230,228,27271
Mackellar,New South Wales,62350,29330,91680,208,17500
Macquarie,New South Wales,56180,31778,87958,235,18490
McMahon,New South Wales,29146,53967,83113,242,23721
Mitchell,New South Wales,42112,43652,85764,176,19436
Newcastle,New South Wales,71158,23999,95157,232,19970
New England,New South Wales,44608,40324,84932,256,25581
North Sydney,New South Wales,64813,25473,90286,193,17538
Page,New South Wales,55943,37727,93670,291,25645
Parkes,New South Wales,41408,37108,78516,241,29777
Parramatta,New South Wales,29299,47038,76337,197,25757
Paterson,New South Wales,60915,32059,92974,279,24264
Reid,New South Wales,43567,39061,82628,203,23786
Richmond,New South Wales,62591,29625,92216,274,22719
Riverina,New South Wales,47333,39308,86641,265,25632
Robertson,New South Wales,58689,30614,89303,231,20431
Shortland,New South Wales,62455,29836,92291,255,19675
Sydney,New South Wales,76144,14860,91004,146,22093
Warringah,New South Wales,64999,21660,86659,172,16630
Watson,New South Wales,24915,57160,82075,205,24634
Wentworth,New South Wales,69279,16410,85689,162,18121
Werriwa,New South Wales,30252,53174,83426,269,29282
Whitlam,New South Wales,57562,34879,92441,276,23064
Aston,Victoria,48455,29730,78185,234,17664
Ballarat,Victoria,65613,27405,93018,333,20923
Batman,Victoria,66383,26906,93289,287,17901
Bendigo,Victoria,63412,28852,92264,333,19360
Bruce,Victoria,34644,39203,73847,257,21261
Calwell,Victoria,37839,49823,87662,331,23588
Casey,Victoria,59959,28144,88103,316,16807
Chisholm,Victoria,49448,30844,80292,271,17188
Corangamite,Victoria,69723,27708,97431,326,17123
Corio,Victoria,62658,29865,92523,359,18255
Deakin,Victoria,55464,28973,84437,276,15389
Dunkley,Victoria,62840,24471,87311,285,19322
Flinders,Victoria,68291,29275,97566,336,21407
Gellibrand,Victoria,62045,29065,91110,278,19771
Gippsland,Victoria,51196,33910,85106,338,20370
Goldstein,Victoria,69726,21663,91389,238,14857
Gorton,Victoria,49834,43587,93421,347,27479
Higgins,Victoria,70059,19375,89434,180,16615
Holt,Victoria,47147,45875,93022,289,28260
Hotham,Victoria,47986,32524,80510,303,19732
Indi,Victoria,54563,31925,86488,324,18934
Isaacs,Victoria,56645,30063,86708,275,20692
Jagajaga,Victoria,65098,23453,88551,255,15363
Kooyong,Victoria,63592,22729,86321,231,14147
Lalor,Victoria,57062,43429,100491,345,30127
La Trobe,Victoria,61807,29826,91633,268,19002
Mallee,Victoria,42495,35795,78290,359,21207
Maribyrnong,Victoria,53208,35658,88866,360,23762
McEwen,Victoria,73705,39007,112712,377,26966
McMillan,Victoria,61479,36500,97979,372,22403
Melbourne,Victoria,81287,15839,97126,182,20154
Melbourne Ports,Victoria,70589,15523,86112,198,18745
Menzies,Victoria,47137,35626,82763,258,15745
Murray,Victoria,48205,35452,83657,357,21560
Scullin,Victoria,48245,42147,90392,357,22817
Wannon,Victoria,49340,31529,80869,343,18569
Wills,Victoria,68450,29399,97849,250,20169
Blair,Queensland,47194,31433,78627,256,23975
Bonner,Queensland,52139,31891,84030,209,17981
Bowman,Queensland,53529,32627,86156,220,19691
Brisbane,Queensland,72812,18762,91574,159,20656
Capricornia,Queensland,39917,33917,73834,230,24896
Dawson,Queensland,42539,34599,77138,205,26943
Dickson,Queensland,54206,28988,83194,190,18527
Fadden,Queensland,52154,32218,84372,215,26234
Fairfax,Queensland,58510,32451,90961,277,21335
Fisher,Queensland,52023,30783,82806,258,19625
Flynn,Queensland,39020,36783,75803,262,24529
Forde,Queensland,46937,30585,77522,231,24423
Griffith,Queensland,69171,21132,90303,184,20133
Groom,Queensland,40536,41915,82451,262,20717
