electoral_division,state,gender,age,age_lower,age_upper,eligible,participant
Canberra,Australian Capital Territory Divisions,female,18-19,18,19,"2,433","2,092"
Canberra,Australian Capital Territory Divisions,female,20-24,20,24,"6,171","5,084"
Canberra,Australian Capital Territory Divisions,female,25-29,25,29,"6,464","5,343"
Canberra,Australian Capital Territory Divisions,female,30-34,30,34,"6,359","5,260"
Canberra,Australian Capital Territory Divisions,female,35-39,35,39,"6,134","4,990"
Canberra,Australian Capital Territory Divisions,female,40-44,40,44,"6,023","4,986"
Canberra,Australian Capital Territory Divisions,female,45-49,45,49,"6,651","5,624"
Canberra,Australian Capital Territory Divisions,female,50-54,50,54,"6,486","5,597"
Canberra,Australian Capital Territory Divisions,female,55-59,55,59,"6,437","5,654"
Canberra,Australian Capital Territory Divisions,female,60-64,60,64,"5,375","4,822"
Canberra,Australian Capital Territory Divisions,female,65-69,65,69,"4,962","4,518"
Canberra,Australian Capital Territory Divisions,female,70-74,70,74,"3,858","3,535"
Canberra,Australian Capital Territory Divisions,female,75-79,75,79,"2,630","2,360"
Canberra,Australian Capital Territory Divisions,female,80-84,80,84,"1,877","1,637"
Canberra,Australian Capital Territory Divisions,female,85+,85,125,"2,162","1,679"
Canberra,Australian Capital Territory Divisions,male,18-19,18,19,"2,260","1,764"
Canberra,Australian Capital Territory Divisions,male,20-24,20,24,"6,471","4,789"
Canberra,Australian Capital Territory Divisions,male,25-29,25,29,"6,448","4,817"
Canberra,Australian Capital Territory Divisions,male,30-34,30,34,"6,509","4,973"
Canberra,Australian Capital Territory Divisions,male,35-39,35,39,"5,983","4,626"
Canberra,Australian Capital Territory Divisions,male,40-44,40,44,"5,805","4,453"
Canberra,Australian Capital Territory Divisions,male,45-49,45,49,"6,302","5,074"
Canberra,Australian Capital Territory Divisions,male,50-54,50,54,"5,902","4,826"
Canberra,Australian Capital Territory Divisions,male,55-59,55,59,"6,044","5,169"
Canberra,Australian Capital Territory Divisions,male,60-64,60,64,"5,057","4,394"
Canberra,Australian Capital Territory Divisions,male,65-69,65,69,"4,581","4,104"
Canberra,Australian Capital Territory Divisions,male,70-74,70,74,"3,502","3,177"
Canberra,Australian Capital Territory Divisions,male,75-79,75,79,"2,310","2,075"
Canberra,Australian Capital Territory Divisions,male,80-84,80,84,"1,419","1,269"
Canberra,Australian Capital Territory Divisions,male,85+,85,125,"1,266","1,049"
Fenner,Australian Capital Territory Divisions,female,18-19,18,19,"2,008","1,642"
Fenner,Australian Capital Territory Divisions,female,20-24,20,24,"6,570","5,258"
Fenner,Australian Capital Territory Divisions,female,25-29,25,29,"7,233","5,864"
Fenner,Australian Capital Territory Divisions,female,30-34,30,34,"8,212","6,612"
Fenner,Australian Capital Territory Divisions,female,35-39,35,39,"7,956","6,474"
Fenner,Australian Capital Territory Divisions,female,40-44,40,44,"7,102","5,879"
Fenner,Australian Capital Territory Divisions,female,45-49,45,49,"6,453","5,407"
Fenner,Australian Capital Territory Divisions,female,50-54,50,54,"5,360","4,565"
Fenner,Australian Capital Territory Divisions,female,55-59,55,59,"4,943","4,343"
Fenner,Australian Capital Territory Divisions,female,60-64,60,64,"4,458","3,979"
Fenner,Australian Capital Territory Divisions,female,65-69,65,69,"4,085","3,701"
Fenner,Australian Capital Territory Divisions,female,70-74,70,74,"3,024","2,732"
Fenner,Australian Capital Territory Divisions,female,75-79,75,79,"2,035","1,834"
Fenner,Australian Capital Territory Divisions,female,80-84,80,84,"1,380","1,185"
Fenner,Australian Capital Territory Divisions,female,85+,85,125,"1,387","1,082"
Fenner,Australian Capital Territory Divisions,male,18-19,18,19,"1,904","1,477"
Fenner,Australian Capital Territory Divisions,male,20-24,20,24,"6,354","4,687"
Fenner,Australian Capital Territory Divisions,male,25-29,25,29,"7,121","5,178"
Fenner,Australian Capital Territory Divisions,male,30-34,30,34,"7,822","5,786"
Fenner,Australian Capital Territory Divisions,male,35-39,35,39,"7,960","6,025"
Fenner,Australian Capital Territory Divisions,male,40-44,40,44,"7,155","5,463"
Fenner,Australian Capital Territory Divisions,male,45-49,45,49,"6,480","5,191"
Fenner,Australian Capital Territory Divisions,male,50-54,50,54,"5,206","4,208"
Fenner,Australian Capital Territory Divisions,male,55-59,55,59,"4,692","3,948"
Fenner,Australian Capital Territory Divisions,male,60-64,60,64,"3,945","3,465"
Fenner,Australian Capital Territory Divisions,male,65-69,65,69,"3,544","3,164"
Fenner,Australian Capital Territory Divisions,male,70-74,70,74,"2,749","2,499"
Fenner,Australian Capital Territory Divisions,male,75-79,75,79,"1,698","1,542"
Fenner,Australian Capital Territory Divisions,male,80-84,80,84,"1,126",990
Fenner,Australian Capital Territory Divisions,male,85+,85,125,972,810
Banks,New South Wales Divisions,female,18-19,18,19,"1,514","1,253"
Banks,New South Wales Divisions,female,20-24,20,24,"4,095","3,263"
Banks,New South Wales Divisions,female,25-29,25,29,"3,959","3,015"
Banks,New South Wales Divisions,female,30-34,30,34,"4,070","3,018"
Banks,New South Wales Divisions,female,35-39,35,39,"4,362","3,354"
Banks,New South Wales Divisions,female,40-44,40,44,"4,511","3,554"
Banks,New South Wales Divisions,female,45-49,45,49,"4,871","3,877"
Banks,New South Wales Divisions,female,50-54,50,54,"4,787","3,932"
Banks,New South Wales Divisions,female,55-59,55,59,"4,726","3,988"
Banks,New South Wales Divisions,female,60-64,60,64,"4,069","3,504"
Banks,New South Wales Divisions,female,65-69,65,69,"3,520","3,093"
Banks,New South Wales Divisions,female,70-74,70,74,"2,870","2,540"
Banks,New South Wales Divisions,female,75-79,75,79,"2,329","2,085"
Banks,New South Wales Divisions,female,80-84,80,84,"1,943","1,672"
Banks,New South Wales Divisions,female,85+,85,125,"2,528","2,018"
Banks,New South Wales Divisions,male,18-19,18,19,"1,431","1,102"
Banks,New South Wales Divisions,male,20-24,20,24,"4,224","3,098"
Banks,New South Wales Divisions,male,25-29,25,29,"4,036","2,918"
Banks,New South Wales Divisions,male,30-34,30,34,"4,188","2,895"
Banks,New South Wales Divisions,male,35-39,35,39,"4,197","2,982"
Banks,New South Wales Divisions,male,40-44,40,44,"4,239","3,172"
Banks,New South Wales Divisions,male,45-49,45,49,"4,419","3,477"
Banks,New South Wales Divisions,male,50-54,50,54,"4,471","3,523"
Banks,New South Wales Divisions,male,55-59,55,59,"4,621","3,764"
Banks,New South Wales Divisions,male,60-64,60,64,"3,948","3,297"
Banks,New South Wales Divisions,male,65-69,65,69,"3,257","2,851"
Banks,New South Wales Divisions,male,70-74,70,74,"2,631","2,366"
Banks,New South Wales Divisions,male,75-79,75,79,"1,836","1,636"
Banks,New South Wales Divisions,male,80-84,80,84,"1,531","1,352"
Banks,New South Wales Divisions,male,85+,85,125,"1,499","1,247"
Barton,New South Wales Divisions,female,18-19,18,19,"1,309","1,061"
Barton,New South Wales Divisions,female,20-24,20,24,"4,101","3,205"
Barton,New South Wales Divisions,female,25-29,25,29,"4,516","3,407"
Barton,New South Wales Divisions,female,30-34,30,34,"5,273","3,853"
Barton,New South Wales Divisions,female,35-39,35,39,"4,909","3,631"
Barton,New South Wales Divisions,female,40-44,40,44,"4,895","3,847"
Barton,New South Wales Divisions,female,45-49,45,49,"5,064","4,105"
Barton,New South Wales Divisions,female,50-54,50,54,"4,761","3,821"
Barton,New South Wales Divisions,female,55-59,55,59,"4,314","3,449"
Barton,New South Wales Divisions,female,60-64,60,64,"3,848","3,217"
Barton,New South Wales Divisions,female,65-69,65,69,"3,401","2,930"
Barton,New South Wales Divisions,female,70-74,70,74,"2,786","2,418"
Barton,New South Wales Divisions,female,75-79,75,79,"2,339","1,979"
Barton,New South Wales Divisions,female,80-84,80,84,"1,832","1,525"
Barton,New South Wales Divisions,female,85+,85,125,"1,942","1,431"
Barton,New South Wales Divisions,male,18-19,18,19,"1,278",977
Barton,New South Wales Divisions,male,20-24,20,24,"4,186","3,047"
Barton,New South Wales Divisions,male,25-29,25,29,"4,594","3,231"
Barton,New South Wales Divisions,male,30-34,30,34,"5,305","3,678"
Barton,New South Wales Divisions,male,35-39,35,39,"5,176","3,667"
Barton,New South Wales Divisions,male,40-44,40,44,"4,935","3,673"
Barton,New South Wales Divisions,male,45-49,45,49,"4,852","3,744"
Barton,New South Wales Divisions,male,50-54,50,54,"4,562","3,610"
Barton,New South Wales Divisions,male,55-59,55,59,"4,162","3,291"
Barton,New South Wales Divisions,male,60-64,60,64,"3,670","2,948"
Barton,New South Wales Divisions,male,65-69,65,69,"3,245","2,720"
Barton,New South Wales Divisions,male,70-74,70,74,"2,685","2,293"
Barton,New South Wales Divisions,male,75-79,75,79,"1,999","1,775"
Barton,New South Wales Divisions,male,80-84,80,84,"1,599","1,323"
Barton,New South Wales Divisions,male,85+,85,125,"1,368","1,111"
Bennelong,New South Wales Divisions,female,18-19,18,19,"1,398","1,178"
Bennelong,New South Wales Divisions,female,20-24,20,24,"4,264","3,486"
Bennelong,New South Wales Divisions,female,25-29,25,29,"3,966","3,120"
Bennelong,New South Wales Divisions,female,30-34,30,34,"4,420","3,338"
Bennelong,New South Wales Divisions,female,35-39,35,39,"4,724","3,592"
Bennelong,New South Wales Divisions,female,40-44,40,44,"4,584","3,621"
Bennelong,New South Wales Divisions,female,45-49,45,49,"4,968","4,124"
Bennelong,New South Wales Divisions,female,50-54,50,54,"4,883","4,096"
Bennelong,New South Wales Divisions,female,55-59,55,59,"4,594","3,930"
Bennelong,New South Wales Divisions,female,60-64,60,64,"4,110","3,603"
Bennelong,New South Wales Divisions,female,65-69,65,69,"3,352","3,005"
Bennelong,New South Wales Divisions,female,70-74,70,74,"2,606","2,351"
Bennelong,New South Wales Divisions,female,75-79,75,79,"2,145","1,922"
Bennelong,New South Wales Divisions,female,80-84,80,84,"1,817","1,585"
Bennelong,New South Wales Divisions,female,85+,85,125,"2,435","1,992"
Bennelong,New South Wales Divisions,male,18-19,18,19,"1,488","1,177"
Bennelong,New South Wales Divisions,male,20-24,20,24,"4,492","3,356"
Bennelong,New South Wales Divisions,male,25-29,25,29,"4,316","3,106"
Bennelong,New South Wales Divisions,male,30-34,30,34,"4,580","3,245"
Bennelong,New South Wales Divisions,male,35-39,35,39,"4,792","3,404"
Bennelong,New South Wales Divisions,male,40-44,40,44,"4,463","3,405"
Bennelong,New South Wales Divisions,male,45-49,45,49,"4,456","3,563"
Bennelong,New South Wales Divisions,male,50-54,50,54,"4,586","3,742"
Bennelong,New South Wales Divisions,male,55-59,55,59,"4,367","3,657"
Bennelong,New South Wales Divisions,male,60-64,60,64,"3,830","3,301"
Bennelong,New South Wales Divisions,male,65-69,65,69,"3,239","2,863"
Bennelong,New South Wales Divisions,male,70-74,70,74,"2,351","2,124"
Bennelong,New South Wales Divisions,male,75-79,75,79,"1,785","1,620"
Bennelong,New South Wales Divisions,male,80-84,80,84,"1,371","1,221"
Bennelong,New South Wales Divisions,male,85+,85,125,"1,422","1,195"
Berowra,New South Wales Divisions,female,18-19,18,19,"1,823","1,562"
Berowra,New South Wales Divisions,female,20-24,20,24,"4,450","3,799"
Berowra,New South Wales Divisions,female,25-29,25,29,"3,182","2,616"
Berowra,New South Wales Divisions,female,30-34,30,34,"2,977","2,401"
Berowra,New South Wales Divisions,female,35-39,35,39,"3,809","3,084"
Berowra,New South Wales Divisions,female,40-44,40,44,"4,738","3,889"
Berowra,New South Wales Divisions,female,45-49,45,49,"5,430","4,562"
Berowra,New South Wales Divisions,female,50-54,50,54,"5,183","4,479"
Berowra,New South Wales Divisions,female,55-59,55,59,"5,122","4,552"
Berowra,New South Wales Divisions,female,60-64,60,64,"4,300","3,863"
Berowra,New South Wales Divisions,female,65-69,65,69,"3,709","3,401"
Berowra,New South Wales Divisions,female,70-74,70,74,"3,182","2,961"
Berowra,New South Wales Divisions,female,75-79,75,79,"2,221","2,050"
Berowra,New South Wales Divisions,female,80-84,80,84,"1,479","1,330"
Berowra,New South Wales Divisions,female,85+,85,125,"1,943","1,609"
Berowra,New South Wales Divisions,male,18-19,18,19,"1,916","1,523"
Berowra,New South Wales Divisions,male,20-24,20,24,"4,808","3,767"
Berowra,New South Wales Divisions,male,25-29,25,29,"3,541","2,687"
Berowra,New South Wales Divisions,male,30-34,30,34,"2,934","2,241"
Berowra,New South Wales Divisions,male,35-39,35,39,"3,397","2,594"
Berowra,New South Wales Divisions,male,40-44,40,44,"4,405","3,439"
Berowra,New South Wales Divisions,male,45-49,45,49,"4,760","3,852"
Berowra,New South Wales Divisions,male,50-54,50,54,"4,832","4,073"
Berowra,New South Wales Divisions,male,55-59,55,59,"4,891","4,209"
Berowra,New South Wales Divisions,male,60-64,60,64,"4,221","3,736"
Berowra,New South Wales Divisions,male,65-69,65,69,"3,569","3,235"
Berowra,New South Wales Divisions,male,70-74,70,74,"3,033","2,799"
Berowra,New South Wales Divisions,male,75-79,75,79,"1,999","1,841"
Berowra,New South Wales Divisions,male,80-84,80,84,"1,308","1,212"
Berowra,New South Wales Divisions,male,85+,85,125,"1,225","1,085"
Blaxland,New South Wales Divisions,female,18-19,18,19,"1,595","1,216"
Blaxland,New South Wales Divisions,female,20-24,20,24,"4,854","3,631"
Blaxland,New South Wales Divisions,female,25-29,25,29,"4,813","3,412"
Blaxland,New South Wales Divisions,female,30-34,30,34,"4,843","3,401"
Blaxland,New South Wales Divisions,female,35-39,35,39,"4,501","3,184"
Blaxland,New South Wales Divisions,female,40-44,40,44,"4,341","3,197"
Blaxland,New South Wales Divisions,female,45-49,45,49,"4,502","3,395"
Blaxland,New South Wales Divisions,female,50-54,50,54,"4,279","3,314"
Blaxland,New South Wales Divisions,female,55-59,55,59,"4,340","3,462"
Blaxland,New South Wales Divisions,female,60-64,60,64,"3,782","3,079"
Blaxland,New South Wales Divisions,female,65-69,65,69,"3,082","2,593"
Blaxland,New South Wales Divisions,female,70-74,70,74,"2,375","2,018"
Blaxland,New South Wales Divisions,female,75-79,75,79,"1,823","1,527"
Blaxland,New South Wales Divisions,female,80-84,80,84,"1,451","1,189"
Blaxland,New South Wales Divisions,female,85+,85,125,"1,823","1,382"
Blaxland,New South Wales Divisions,male,18-19,18,19,"1,555","1,152"
Blaxland,New South Wales Divisions,male,20-24,20,24,"4,968","3,530"
Blaxland,New South Wales Divisions,male,25-29,25,29,"4,653","3,204"
Blaxland,New South Wales Divisions,male,30-34,30,34,"4,764","3,216"
Blaxland,New South Wales Divisions,male,35-39,35,39,"4,648","3,161"
Blaxland,New South Wales Divisions,male,40-44,40,44,"4,424","3,108"
Blaxland,New South Wales Divisions,male,45-49,45,49,"4,398","3,196"
Blaxland,New South Wales Divisions,male,50-54,50,54,"4,443","3,328"
Blaxland,New South Wales Divisions,male,55-59,55,59,"4,451","3,388"
Blaxland,New South Wales Divisions,male,60-64,60,64,"3,772","2,965"
Blaxland,New South Wales Divisions,male,65-69,65,69,"3,119","2,622"
Blaxland,New South Wales Divisions,male,70-74,70,74,"2,585","2,182"
Blaxland,New South Wales Divisions,male,75-79,75,79,"1,692","1,428"
Blaxland,New South Wales Divisions,male,80-84,80,84,"1,132",950
Blaxland,New South Wales Divisions,male,85+,85,125,"1,142",891
Bradfield,New South Wales Divisions,female,18-19,18,19,"1,833","1,615"
Bradfield,New South Wales Divisions,female,20-24,20,24,"4,276","3,629"
Bradfield,New South Wales Divisions,female,25-29,25,29,"3,109","2,557"
Bradfield,New South Wales Divisions,female,30-34,30,34,"3,265","2,481"
Bradfield,New South Wales Divisions,female,35-39,35,39,"4,261","3,303"
Bradfield,New South Wales Divisions,female,40-44,40,44,"4,817","3,899"
Bradfield,New South Wales Divisions,female,45-49,45,49,"5,636","4,777"
Bradfield,New South Wales Divisions,female,50-54,50,54,"5,205","4,458"
Bradfield,New South Wales Divisions,female,55-59,55,59,"4,646","4,061"
Bradfield,New South Wales Divisions,female,60-64,60,64,"3,824","3,361"
Bradfield,New South Wales Divisions,female,65-69,65,69,"3,639","3,265"
Bradfield,New South Wales Divisions,female,70-74,70,74,"3,253","2,981"
Bradfield,New South Wales Divisions,female,75-79,75,79,"2,487","2,285"
Bradfield,New South Wales Divisions,female,80-84,80,84,"1,990","1,777"
Bradfield,New South Wales Divisions,female,85+,85,125,"2,734","2,225"
Bradfield,New South Wales Divisions,male,18-19,18,19,"1,826","1,503"
Bradfield,New South Wales Divisions,male,20-24,20,24,"4,326","3,384"
Bradfield,New South Wales Divisions,male,25-29,25,29,"3,395","2,556"
Bradfield,New South Wales Divisions,male,30-34,30,34,"3,121","2,197"
Bradfield,New South Wales Divisions,male,35-39,35,39,"3,898","2,897"
Bradfield,New South Wales Divisions,male,40-44,40,44,"4,398","3,432"
Bradfield,New South Wales Divisions,male,45-49,45,49,"4,987","4,034"
Bradfield,New South Wales Divisions,male,50-54,50,54,"4,790","4,025"
Bradfield,New South Wales Divisions,male,55-59,55,59,"4,540","3,914"
Bradfield,New South Wales Divisions,male,60-64,60,64,"3,548","3,091"
Bradfield,New South Wales Divisions,male,65-69,65,69,"3,193","2,847"
Bradfield,New South Wales Divisions,male,70-74,70,74,"2,892","2,636"
Bradfield,New South Wales Divisions,male,75-79,75,79,"2,130","1,976"
Bradfield,New South Wales Divisions,male,80-84,80,84,"1,610","1,482"
Bradfield,New South Wales Divisions,male,85+,85,125,"1,740","1,545"
Calare,New South Wales Divisions,female,18-19,18,19,"1,627","1,255"
Calare,New South Wales Divisions,female,20-24,20,24,"4,385","3,017"
Calare,New South Wales Divisions,female,25-29,25,29,"4,437","3,108"
Calare,New South Wales Divisions,female,30-34,30,34,"4,447","3,218"
Calare,New South Wales Divisions,female,35-39,35,39,"4,237","3,080"
Calare,New South Wales Divisions,female,40-44,40,44,"4,514","3,485"
Calare,New South Wales Divisions,female,45-49,45,49,"5,005","3,959"
Calare,New South Wales Divisions,female,50-54,50,54,"4,875","3,991"
Calare,New South Wales Divisions,female,55-59,55,59,"5,167","4,430"
Calare,New South Wales Divisions,female,60-64,60,64,"4,748","4,133"
Calare,New South Wales Divisions,female,65-69,65,69,"4,513","4,059"
Calare,New South Wales Divisions,female,70-74,70,74,"3,848","3,487"
Calare,New South Wales Divisions,female,75-79,75,79,"2,729","2,422"
Calare,New South Wales Divisions,female,80-84,80,84,"2,023","1,755"
Calare,New South Wales Divisions,female,85+,85,125,"2,048","1,615"
Calare,New South Wales Divisions,male,18-19,18,19,"1,643","1,163"
Calare,New South Wales Divisions,male,20-24,20,24,"4,398","2,777"
Calare,New South Wales Divisions,male,25-29,25,29,"4,399","2,764"
Calare,New South Wales Divisions,male,30-34,30,34,"4,328","2,835"
Calare,New South Wales Divisions,male,35-39,35,39,"4,126","2,782"
Calare,New South Wales Divisions,male,40-44,40,44,"4,327","2,988"
Calare,New South Wales Divisions,male,45-49,45,49,"4,910","3,615"
Calare,New South Wales Divisions,male,50-54,50,54,"4,753","3,655"
Calare,New South Wales Divisions,male,55-59,55,59,"5,187","4,206"
Calare,New South Wales Divisions,male,60-64,60,64,"4,596","3,867"
Calare,New South Wales Divisions,male,65-69,65,69,"4,529","3,981"
Calare,New South Wales Divisions,male,70-74,70,74,"3,792","3,380"
Calare,New South Wales Divisions,male,75-79,75,79,"2,500","2,214"
Calare,New South Wales Divisions,male,80-84,80,84,"1,579","1,398"
Calare,New South Wales Divisions,male,85+,85,125,"1,233","1,022"
Chifley,New South Wales Divisions,female,18-19,18,19,"1,767","1,294"
Chifley,New South Wales Divisions,female,20-24,20,24,"5,506","3,834"
Chifley,New South Wales Divisions,female,25-29,25,29,"5,163","3,429"
Chifley,New South Wales Divisions,female,30-34,30,34,"5,437","3,662"
Chifley,New South Wales Divisions,female,35-39,35,39,"5,204","3,562"
Chifley,New South Wales Divisions,female,40-44,40,44,"4,802","3,479"
Chifley,New South Wales Divisions,female,45-49,45,49,"4,836","3,676"
Chifley,New South Wales Divisions,female,50-54,50,54,"4,513","3,572"
Chifley,New South Wales Divisions,female,55-59,55,59,"4,301","3,552"
Chifley,New South Wales Divisions,female,60-64,60,64,"3,824","3,214"
Chifley,New South Wales Divisions,female,65-69,65,69,"3,283","2,833"
Chifley,New South Wales Divisions,female,70-74,70,74,"2,417","2,099"
Chifley,New South Wales Divisions,female,75-79,75,79,"1,608","1,374"
Chifley,New South Wales Divisions,female,80-84,80,84,"1,085",901
Chifley,New South Wales Divisions,female,85+,85,125,"1,060",790
Chifley,New South Wales Divisions,male,18-19,18,19,"1,828","1,287"
Chifley,New South Wales Divisions,male,20-24,20,24,"5,459","3,553"
Chifley,New South Wales Divisions,male,25-29,25,29,"5,111","3,283"
Chifley,New South Wales Divisions,male,30-34,30,34,"5,205","3,256"
Chifley,New South Wales Divisions,male,35-39,35,39,"5,302","3,402"
Chifley,New South Wales Divisions,male,40-44,40,44,"4,757","3,301"
Chifley,New South Wales Divisions,male,45-49,45,49,"4,746","3,438"
Chifley,New South Wales Divisions,male,50-54,50,54,"4,400","3,378"
Chifley,New South Wales Divisions,male,55-59,55,59,"4,280","3,388"
Chifley,New South Wales Divisions,male,60-64,60,64,"3,517","2,954"
Chifley,New South Wales Divisions,male,65-69,65,69,"3,090","2,655"
Chifley,New South Wales Divisions,male,70-74,70,74,"2,257","1,963"
Chifley,New South Wales Divisions,male,75-79,75,79,"1,331","1,152"
Chifley,New South Wales Divisions,male,80-84,80,84,824,692
Chifley,New South Wales Divisions,male,85+,85,125,609,468
Cook,New South Wales Divisions,female,18-19,18,19,"1,409","1,171"
Cook,New South Wales Divisions,female,20-24,20,24,"3,790","3,099"
Cook,New South Wales Divisions,female,25-29,25,29,"3,969","3,183"
Cook,New South Wales Divisions,female,30-34,30,34,"3,938","3,137"
Cook,New South Wales Divisions,female,35-39,35,39,"4,039","3,209"
Cook,New South Wales Divisions,female,40-44,40,44,"4,501","3,564"
Cook,New South Wales Divisions,female,45-49,45,49,"4,935","4,021"
Cook,New South Wales Divisions,female,50-54,50,54,"4,536","3,836"
Cook,New South Wales Divisions,female,55-59,55,59,"4,475","3,842"
Cook,New South Wales Divisions,female,60-64,60,64,"4,107","3,650"
Cook,New South Wales Divisions,female,65-69,65,69,"3,755","3,387"
Cook,New South Wales Divisions,female,70-74,70,74,"3,325","3,033"
Cook,New South Wales Divisions,female,75-79,75,79,"2,527","2,307"
Cook,New South Wales Divisions,female,80-84,80,84,"2,141","1,908"
Cook,New South Wales Divisions,female,85+,85,125,"2,809","2,319"
Cook,New South Wales Divisions,male,18-19,18,19,"1,383","1,070"
Cook,New South Wales Divisions,male,20-24,20,24,"3,855","2,871"
Cook,New South Wales Divisions,male,25-29,25,29,"3,818","2,710"
Cook,New South Wales Divisions,male,30-34,30,34,"3,815","2,771"
Cook,New South Wales Divisions,male,35-39,35,39,"3,908","2,857"
Cook,New South Wales Divisions,male,40-44,40,44,"4,317","3,249"
Cook,New South Wales Divisions,male,45-49,45,49,"4,746","3,671"
Cook,New South Wales Divisions,male,50-54,50,54,"4,377","3,495"
Cook,New South Wales Divisions,male,55-59,55,59,"4,321","3,579"
Cook,New South Wales Divisions,male,60-64,60,64,"3,789","3,280"
Cook,New South Wales Divisions,male,65-69,65,69,"3,402","3,021"
Cook,New South Wales Divisions,male,70-74,70,74,"2,985","2,712"
Cook,New South Wales Divisions,male,75-79,75,79,"2,153","1,991"
Cook,New South Wales Divisions,male,80-84,80,84,"1,655","1,496"
Cook,New South Wales Divisions,male,85+,85,125,"1,663","1,419"
Cowper,New South Wales Divisions,female,18-19,18,19,"1,516","1,112"
Cowper,New South Wales Divisions,female,20-24,20,24,"3,716","2,527"
Cowper,New South Wales Divisions,female,25-29,25,29,"3,650","2,554"
Cowper,New South Wales Divisions,female,30-34,30,34,"3,669","2,557"
Cowper,New South Wales Divisions,female,35-39,35,39,"3,771","2,747"
Cowper,New South Wales Divisions,female,40-44,40,44,"4,266","3,236"
Cowper,New South Wales Divisions,female,45-49,45,49,"4,929","3,930"
Cowper,New South Wales Divisions,female,50-54,50,54,"5,110","4,155"
Cowper,New South Wales Divisions,female,55-59,55,59,"6,133","5,209"
Cowper,New South Wales Divisions,female,60-64,60,64,"5,890","5,173"
Cowper,New South Wales Divisions,female,65-69,65,69,"5,754","5,201"
Cowper,New South Wales Divisions,female,70-74,70,74,"5,060","4,632"
Cowper,New South Wales Divisions,female,75-79,75,79,"3,603","3,272"
Cowper,New South Wales Divisions,female,80-84,80,84,"2,741","2,417"
Cowper,New South Wales Divisions,female,85+,85,125,"3,098","2,451"
Cowper,New South Wales Divisions,male,18-19,18,19,"1,462","1,012"
Cowper,New South Wales Divisions,male,20-24,20,24,"3,830","2,333"
Cowper,New South Wales Divisions,male,25-29,25,29,"3,674","2,251"
Cowper,New South Wales Divisions,male,30-34,30,34,"3,489","2,284"
